Date,Open,Close,High,Low,Volume
04-Mar-15,244.85,243.25,246.15,241.75,18857332
05-Mar-15,242.95,245.95,247.2,242.05,19973856
06-Mar-15,245,242.5,246.2,242.4,16454715
09-Mar-15,241.25,240.3,241.94,239.25,16863460
10-Mar-15,239.55,235.3,243.3,234.9,26656040
11-Mar-15,235.95,235.45,236.46,233.75,17083288
12-Mar-15,235.65,235.75,238.6,235.45,15277800
13-Mar-15,236.05,232.85,237.7,231.4,20174060
16-Mar-15,233.55,241.35,242.45,233.19,25181356
17-Mar-15,241.1,237.15,241.4,233.48,22951808
18-Mar-15,237.8,241.8,242.1,236.84,17885430
19-Mar-15,242.9,242.8,245.1,242,24188844
20-Mar-15,244.95,244.85,245.7,243.5,26330020
23-Mar-15,245.65,246.6,246.6,244,16825704
24-Mar-15,244.7,243.65,246.72,242.15,18686716
25-Mar-15,242.65,239.35,245,238.55,16963400
26-Mar-15,237.4,238,239.2,236.26,18764494
27-Mar-15,237.8,238.25,238.45,234.8,15631870
30-Mar-15,240.95,240.95,241.75,238.62,19951926
31-Mar-15,241.85,241.85,245.3,240.85,30377236
01-Apr-15,240.6,243.25,245.33,239.94,21802874
02-Apr-15,242.75,244.3,244.55,241.58,20514960
07-Apr-15,245.3,251,252.52,245.11,25719732
08-Apr-15,250.1,246.85,252.3,246.15,26916954
09-Apr-15,247.75,246.8,249.15,245.1,22195218
10-Apr-15,248,251,251.55,246.55,21038892
13-Apr-15,248.9,244.3,248.9,243.35,21920796
14-Apr-15,243.1,244.2,245.25,241.8,22603270
15-Apr-15,243.8,246.9,248.55,241.9,23837404
16-Apr-15,248.35,241.05,248.6,240.4,23641438
17-Apr-15,240.5,236.7,241.75,234.7,23042172
20-Apr-15,235,235,240,231.5,28180276
21-Apr-15,236.7,234.75,238.95,233.35,25901196
22-Apr-15,234.7,222.65,240.45,220.2,82708064
23-Apr-15,224,225.3,228.11,222.59,41758272
24-Apr-15,224.15,224.8,225.95,222.4,35605028
27-Apr-15,224.6,220.8,226.55,215.5,49601572
28-Apr-15,221.45,220.05,222.6,217.2,22433892
29-Apr-15,220,220.45,222.55,218.55,28326312
30-Apr-15,221.8,221,224.35,220.05,30276994
01-May-15,218.75,225,225.95,218.75,27222392
05-May-15,225.6,226.9,228.36,225.05,29396260
06-May-15,225.95,226.8,227.35,224.71,27999892
07-May-15,227,223.7,227.13,223.7,28518974
08-May-15,227.1,228.85,230.7,226.3,21845992
11-May-15,229.5,232.5,235.35,229.35,19185928
12-May-15,230.8,227.45,232.4,226.25,19439316
13-May-15,227.95,224.7,229.85,223.6,23240556
14-May-15,223.55,227.4,227.85,222.93,17646954
15-May-15,227.6,224.5,229,223.85,20638124
18-May-15,224.8,222.1,227.2,220.7,19649916
19-May-15,222.9,221.15,223.25,220,18998224
20-May-15,221,220.5,221.75,219.25,17870648
21-May-15,221.8,220.7,224.35,219.1,16406695
22-May-15,220.05,219.4,221.55,218.55,12174522
26-May-15,219.15,215.65,220.65,214.1,20334096
27-May-15,214.65,217,218.55,214.65,18249552
28-May-15,215.65,216.4,218.25,214.69,13568402
29-May-15,216.65,212.6,217.5,212.05,34040760
01-Jun-15,212.5,209.8,214.55,209.2,23123788
02-Jun-15,209.35,207.45,209.75,204.45,34401552
03-Jun-15,206.45,210.4,212.3,206.45,20455170
04-Jun-15,210.4,208.65,212.55,206.65,30190870
05-Jun-15,207.75,205.8,209,205.55,15784733
08-Jun-15,205.1,203.5,205.88,202.02,14683576
09-Jun-15,203.9,202.1,205.05,200.77,26314348
10-Jun-15,202.2,211.45,212.15,201.73,40435372
11-Jun-15,210.5,215.65,217.05,210.5,36191788
12-Jun-15,214.4,213.7,214.95,212.25,21003268
15-Jun-15,211.8,214,214.9,211.8,19404004
16-Jun-15,213.5,211.5,214.95,210.25,36439288
17-Jun-15,211,208.05,211.1,207.8,20253288
18-Jun-15,209.05,209.5,211.05,206.7,40963960
19-Jun-15,210,210.85,216.1,209.2,31116358
22-Jun-15,214.4,214,214.7,210.4,16093628
23-Jun-15,216.15,216.2,217.17,212.7,16573971
24-Jun-15,217.6,215.8,220.6,215.35,35358180
25-Jun-15,214,217.75,219.7,213.45,28008668
26-Jun-15,224.3,223.65,227.35,221.35,44203408
29-Jun-15,220,218.75,221.15,218.4,24284356
30-Jun-15,217.5,212.55,217.8,212,30985374
01-Jul-15,213.8,209.6,214.2,209.3,27151940
02-Jul-15,209.95,209.55,211.53,208.3,19045202
03-Jul-15,208.85,207.4,211.15,206,13095387
06-Jul-15,205.3,205.25,207.7,204.6,14991041
07-Jul-15,207.1,200.65,207.1,199.6,20329726
08-Jul-15,203.15,201.9,205.86,201.5,25480196
09-Jul-15,202.1,206,206,200.5,33909696
10-Jul-15,208.7,207.75,209,206.45,19133480
13-Jul-15,209.8,212.5,213.05,208.8,15624678
14-Jul-15,213.35,216.45,216.6,212.55,18216976
15-Jul-15,216.55,217.1,218.75,214.7,23884376
16-Jul-15,217.7,217.65,218.65,216.85,17770268
17-Jul-15,218.05,218.05,220.12,217.26,13450314
20-Jul-15,217.25,218.6,219.75,216.85,8830929
21-Jul-15,218.5,221.6,222.3,217.55,20743532
22-Jul-15,220.45,219,221.85,218.5,24069454
23-Jul-15,220.35,219.6,222.2,218.39,11889725
24-Jul-15,218.8,219,220.55,218.25,20221658
27-Jul-15,217.7,214.3,218.72,213.05,15451925
28-Jul-15,215.25,212.4,215.35,211.65,21805204
29-Jul-15,213.1,213,214.45,211.5,14332911
30-Jul-15,213.4,214.65,215.34,212.79,16010999
31-Jul-15,215.75,215.7,215.75,211.12,19347844
03-Aug-15,214.7,211.6,215.65,210.8,17456320
04-Aug-15,210.6,210.7,213.2,209.75,14296048
05-Aug-15,210.55,215.4,218,210.55,26373568
06-Aug-15,214.95,218.9,221.9,214.4,25790024
07-Aug-15,218.85,215.8,219.37,215.8,17197076
10-Aug-15,216.55,212.75,216.95,210.95,20547912
11-Aug-15,212.15,209.55,212.98,209.55,16789782
12-Aug-15,205.65,204.15,210.27,202.8,38946360
13-Aug-15,205.95,202,207.25,202,28892824
14-Aug-15,202.45,202.65,205.5,201.85,28427422
17-Aug-15,204.25,202.2,204.35,201.2,9455442
18-Aug-15,201.65,198.6,202.9,198.3,22125012
19-Aug-15,198.25,194.75,198.65,194.6,28208576
20-Aug-15,193.6,193.7,195.9,191,21736268
21-Aug-15,191.8,188.2,194.75,188.2,25642836
24-Aug-15,182.6,181.1,185.95,175.85,49282616
25-Aug-15,183,186,188.2,183,34432304
26-Aug-15,184.6,186.2,189.2,182.5,26348688
27-Aug-15,190.6,191.45,192.5,186.7,31360708
28-Aug-15,191.4,191.35,191.96,187.52,25776008
01-Sep-15,189.55,185.4,190.4,183.5,32029296
02-Sep-15,185.4,184.85,188.2,184.6,29144488
03-Sep-15,186.8,189.55,190.8,186.6,36099516
04-Sep-15,188,185.95,188.56,185.95,20878876
07-Sep-15,189.6,185.95,189.6,183.84,23882812
08-Sep-15,187.5,189,190.85,186.4,22577428
09-Sep-15,192.25,191.2,193.4,190.79,15741742
10-Sep-15,189.4,185.55,189.95,184.85,24898056
11-Sep-15,185.85,181.35,186.03,180.8,16180220
14-Sep-15,181.85,178.45,184,178.45,20889410
15-Sep-15,178.3,177,179.46,172.9,27474384
16-Sep-15,178.3,179.2,180.27,177.65,22405114
17-Sep-15,180,176.25,180.9,175.75,17305054
18-Sep-15,176.05,174.65,176.52,172.1,23730208
21-Sep-15,173.75,176.5,178.7,173.62,11674080
22-Sep-15,176,168.2,176.75,168.2,33428828
23-Sep-15,168.1,168.55,170.51,166.99,18786272
24-Sep-15,168.45,165.15,169.15,164.1,27932880
25-Sep-15,167.45,167.45,169.55,166,26217340
28-Sep-15,167.9,166.2,168.2,165.05,17389386
29-Sep-15,164.35,171.3,173.45,164.05,30951272
30-Sep-15,174.95,183.2,184.7,174.7,37640024
01-Oct-15,180.85,178.25,182.7,177.65,25462924
02-Oct-15,179.75,179.85,181.9,176.65,17349738
05-Oct-15,183.9,186.55,187.2,182,26401228
06-Oct-15,185.55,192.15,193.5,185.55,28597504
07-Oct-15,192.2,197,198.05,184.84,41036564
08-Oct-15,194.4,201.75,202.95,194.4,48467340
09-Oct-15,203.6,204.8,205.9,201.9,31135212
12-Oct-15,203.7,201.85,204.85,201.3,20255328
13-Oct-15,202.85,194.05,203.2,193.3,24414906
14-Oct-15,193.25,192.45,195.7,192.2,16297423
15-Oct-15,193.3,192.15,194.35,190.47,19569232
16-Oct-15,192.7,196.95,197.75,191.95,38450196
19-Oct-15,196.4,193.6,198.25,192.95,21570422
20-Oct-15,193.2,189.1,195,188.65,27972976
21-Oct-15,189.1,188.15,190.2,186.05,21081048
22-Oct-15,187.3,188.25,189.94,187.3,26197932
23-Oct-15,189.35,190.6,191.9,188.6,19655186
26-Oct-15,190.2,190.55,193.6,188.95,11150111
27-Oct-15,189.8,185.2,190.45,185.2,15904781
28-Oct-15,185.75,188.75,189.8,184.45,14645373
29-Oct-15,188.8,185.65,189.74,184.9,15102459
30-Oct-15,186.55,183.3,188.05,181.95,17862256
02-Nov-15,182,183.95,184.8,182,12515641
03-Nov-15,183.5,184.65,185.8,182.9,10343198
04-Nov-15,184.9,188.7,190.06,184.55,18617444
05-Nov-15,188.8,184,189.04,183.9,18431598
06-Nov-15,184.8,182.9,185.25,181.49,13285494
09-Nov-15,182.5,178.55,184.6,178.4,17345708
10-Nov-15,176.5,175.25,177,172.05,30314718
11-Nov-15,176,174,177.6,171.93,29315940
12-Nov-15,173.35,171.7,173.85,171.1,23241352
13-Nov-15,171.05,167,171.4,166.95,26319716
16-Nov-15,165.3,166.2,167.75,164.95,18588836
17-Nov-15,170.1,169,173.5,168.05,37865240
18-Nov-15,168.1,170.9,172.07,166.32,22802584
19-Nov-15,171.65,172,174.7,171.1,23749886
20-Nov-15,172.65,171.45,173.92,171.25,25352692
23-Nov-15,170.55,165.1,171.3,164.35,31670628
24-Nov-15,164.55,164.4,165.8,163.3,30597068
25-Nov-15,165,168.5,168.75,164.5,24264578
26-Nov-15,169.1,170,172.2,168.61,15395618
27-Nov-15,169.05,169.15,170.85,167.75,16815036
30-Nov-15,169.15,167.2,169.85,166.7,32771362
01-Dec-15,167.6,167.6,169.1,166.1,19370246
02-Dec-15,168.15,167.3,169,166.55,14902701
03-Dec-15,166.75,163.9,170.8,163.9,25405144
04-Dec-15,163.5,162.6,164.6,161.05,24550340
07-Dec-15,162.6,157,162.8,156.65,25620828
08-Dec-15,156.5,156.55,163.2,155,38330520
09-Dec-15,156.45,153,157.6,153,29381532
10-Dec-15,152.1,150.55,152.57,149.85,33640388
11-Dec-15,149.9,144.35,150.65,143.34,32326712
14-Dec-15,145.5,143.05,149.57,142.95,30588600
15-Dec-15,144.85,149.3,149.75,143.1,29104186
16-Dec-15,150.2,148,151.9,144.85,25146196
17-Dec-15,150.85,144.85,153.04,144.7,32971200
18-Dec-15,143.55,143.45,147.95,142.6,37998368
21-Dec-15,141.1,145.3,147.36,141,17967192
22-Dec-15,146.1,144.85,147.09,142.65,13519080
23-Dec-15,146.15,152.9,153.1,145.65,20642962
24-Dec-15,151.75,150.9,153.15,149.95,3130767
29-Dec-15,150.35,151.15,151.37,148.35,17705436
30-Dec-15,151.2,150.55,151.4,149.93,10814685
31-Dec-15,150.4,149.5,151.55,147.2,6738937
04-Jan-16,146.5,142.25,148,141.65,25646988
05-Jan-16,146.8,144.4,150,143.5,33235084
06-Jan-16,144.1,141.55,144.8,138.65,29127396
07-Jan-16,138.6,139.2,139.9,137,32085616
08-Jan-16,142,146.9,149.22,142,37578396
11-Jan-16,147.55,145.45,148.7,145.45,23372924
12-Jan-16,151.75,155.2,156.12,151.7,43323228
13-Jan-16,156.1,158.3,161.95,154,41022500
14-Jan-16,170,168,170.75,164.04,62893616
15-Jan-16,168.5,164.45,169.3,160.35,42723388
18-Jan-16,163.55,161.55,165.85,160,23564644
19-Jan-16,163.8,159.1,165.7,156.6,45052636
20-Jan-16,157.45,152.4,158.1,150.95,52929976
21-Jan-16,152.65,156.05,156.8,150.7,27978044
22-Jan-16,158.5,160.55,161.75,154.65,35802912
25-Jan-16,161.1,155.7,161.7,154.85,22003024
26-Jan-16,154.1,160.35,161.2,152.95,27375850
27-Jan-16,159.55,161,161.55,156.5,23451042
28-Jan-16,160.2,166.2,167.5,159,35234396
29-Jan-16,168.25,173.4,173.4,165.25,53731764
01-Feb-16,173.85,171.75,174.65,168.05,37377544
02-Feb-16,170.8,171.1,171.7,166,30812084
03-Feb-16,170.35,168.3,171.25,166.32,24129284
04-Feb-16,170.35,169.9,171.4,166.45,22977258
05-Feb-16,171,174.6,176.05,170.7,36808656
08-Feb-16,176,172.6,178.2,169.8,31412224
09-Feb-16,171.7,173.8,177.7,170.66,36394848
10-Feb-16,175.1,181.3,183.5,174.2,48711288
11-Feb-16,179.9,179.6,181.73,177.4,50407664
12-Feb-16,180.2,177,181.52,173.2,33316200
15-Feb-16,181,178.8,182.75,177.8,24362226
16-Feb-16,179.5,180.55,180.85,176.51,25806390
17-Feb-16,180.85,186.85,188,180.4,44451720
18-Feb-16,186.65,186.75,189.94,185.25,24569836
19-Feb-16,186,183.3,187.75,180.5,22822460
22-Feb-16,184.35,184.65,187.5,182.95,15617403
23-Feb-16,184.65,179.55,184.65,179.2,21681522
24-Feb-16,179.25,176.7,180.27,174.1,17719208
25-Feb-16,179.55,180.55,183.35,178.15,19847976
26-Feb-16,183.3,184.15,185.57,181.7,19797952
29-Feb-16,181.85,180.4,182.05,176.95,31574144
01-Mar-16,180,183.95,184.15,178.3,23429204
02-Mar-16,185.1,181.65,185.42,179.58,59838392
03-Mar-16,181.4,186.15,188.8,180.85,26874144
04-Mar-16,186.45,190.75,192.05,186.45,24926420
07-Mar-16,189.9,191.8,191.9,188.13,16438325
08-Mar-16,190.4,195.15,198,189.15,41431140
09-Mar-16,195.15,195.2,197.45,193.95,21834394
10-Mar-16,195.4,188.6,197.9,187.55,44161272
11-Mar-16,190.5,192.2,194.9,188.63,18670146
14-Mar-16,192.55,193.15,194.45,191,17709228
15-Mar-16,192,190.25,193.2,187.2,13828401
16-Mar-16,191,190.65,191.14,186.86,19819664
17-Mar-16,191.45,192.95,194.45,189.75,19173720
18-Mar-16,194.1,194.85,197,192.57,30372572
21-Mar-16,194.1,197.45,198.7,192.75,19110600
22-Mar-16,196.8,201.65,201.65,194.62,28030196
23-Mar-16,201,197.55,201,196.6,18547876
24-Mar-16,195,189.8,195.7,189.2,23105564
29-Mar-16,191.15,189.4,193.7,188.88,23628332
30-Mar-16,191.2,193.75,194.65,190.82,24484900
31-Mar-16,193,191.8,193,190.7,20145646
